Longitude,Latitude,Depth,Salinity,Temperature,DO,Sigma,pH,DIC,TALK,Omega_Ar
-130.85,51.46,1334.11,34.46,2.66,17.78,27.48,7.3043,2386.65,2389.3,0.47916475
-130.85,51.46,1001.27,34.38,3.3,10.25,27.36,7.2856,2376.05,2370.2,0.483510513
-130.85,51.46,752.01,34.25,3.83,11.55,27.2,7.2701,2355.37,2342.7,0.482094851
-130.85,51.46,500.69,34.06,4.53,36.63,26.98,7.083,2317.6,2310,0.524640475
-130.85,51.46,251.26,33.87,5.95,119.94,26.67,7.4213,2236.48,2270.7,0.758738633
-130.85,51.46,151.09,33.7,6.96,155.73,26.4,7.4895,2192.59,2249.9,0.920248791
-130.85,51.46,125.05,33.54,7.26,166.78,26.23,7.5055,2175.84,2235,0.936046909
-130.85,51.46,100.67,32.94,7.16,215.61,25.77,7.5779,2123.23,2206.3,1.104179453
-130.85,51.46,81.22,32.53,7.32,255.71,25.43,7.6433,2084,2181.3,1.214874046
-130.85,51.46,60.03,32.29,7.73,291.21,25.18,7.7242,2040.37,2167.7,1.470162142
-130.85,51.46,50.71,32.21,7.86,289.93,25.1,7.7264,2035.4,2164.1,1.485112579
-130.85,51.46,40.67,32.15,9.02,301.44,24.88,7.7877,2010.81,2164,1.715303138
-130.85,51.46,31.02,32.08,10.34,302.91,24.61,7.8118,1991.97,2159.5,1.861765853
-130.85,51.46,20.29,31.95,11.78,299.24,24.28,7.8571,1978.11,2158.6,2.002987823
-130.85,51.46,6,31.95,13.19,291.67,23.99,7.8156,1975.34,2157,2.035034386
-130.64,51.71,876.79,34.24,4,16.53,27.18,7.278,2350.71,2340.3,0.477511361
-130.64,51.71,744.6,34.21,4.16,18.95,27.14,7.2785,2346.08,2331.9,0.476883106
-130.64,51.71,498.04,34.05,4.86,45.44,26.94,7.3053,2306.84,2306.6,0.555974947
-130.64,51.71,399.49,33.99,5.19,62.31,26.85,7.3247,2287.06,2295.1,0.603789539
-130.64,51.71,298.89,33.9,5.6,83.09,26.73,7.3588,2266.4,2279.8,0.641145516
-130.64,51.71,198.41,33.83,5.99,104.1,26.63,7.3964,2243.67,2271.9,0.733428968
-130.64,51.71,148.27,33.52,6.27,132.02,26.35,7.4435,2211.37,2252.3,0.811849484
-130.64,51.71,123.53,33.27,6.52,150.99,26.12,7.4744,2186.83,2236.5,0.868215898
-130.64,51.71,99.79,33.23,6.58,154.75,26.08,7.482,2181.82,2269.2,1.147953132
-130.64,51.71,80.3,33.07,6.82,168.99,25.92,7.5125,2163.77,2223.1,0.938885371
-130.64,51.71,60.2,32.94,7.07,185.72,25.79,7.5477,2144.97,2214.5,1.014124965
-130.64,51.71,50.18,32.67,7.61,217.31,25.49,7.6023,2109.05,2198.7,1.167445396
-130.64,51.72,39.9,32.65,7.65,218.33,25.47,7.6102,2103.29,2198.9,1.21713151
-130.64,51.72,30.92,32.62,7.7,219.31,25.45,7.6192,2100.08,2191.5,1.184613946
-130.64,51.72,14.65,32.22,8.96,258.61,24.94,7.7291,2041.07,2175.8,1.55917317
-130.64,51.72,10.54,32.1,9.45,271.69,24.78,7.7585,2026.85,2160.1,1.548299483
-130.64,51.72,3.62,32.04,9.87,275.24,24.66,7.7318,2015.88,2161.4,1.664259985
-130.37,51.83,203.27,33.89,5.55,82.84,26.73,7.3537,2268.81,2283,0.658769625
-130.37,51.83,149.84,33.51,6.33,128.7,26.34,7.4282,2213.8,2249.8,0.781665672
-130.37,51.83,124.37,33.41,6.47,138.38,26.24,7.4435,2200.53,2241.6,0.815030691
-130.37,51.83,99.7,33.25,6.67,159.63,26.08,7.4812,2180.69,2228.8,0.861598364
-130.37,51.83,60.52,32.74,7.15,191.54,25.62,7.5332,2127.72,2193.3,0.980311589
-130.37,51.83,49.96,32.52,7.41,202.98,25.41,7.5568,2113.87,2184.5,1.018849614
-130.37,51.83,41.42,32.28,7.88,224.97,25.12,7.6296,2074.18,2167.9,1.195987298
-130.37,51.83,30.49,32.14,8.23,240.15,25,7.6562,2060.19,2162.7,1.271384289
-130.37,51.83,20.81,32.14,8.59,261.54,24.95,7.7004,2042.03,2166.2,1.460561457
-130.37,51.83,15.22,32.14,8.69,269.99,24.92,7.727,2034.58,2164.6,1.513214179
-130.37,51.83,10.8,31.77,10.17,296.86,24.37,7.858,1969.84,2145.7,1.941781472
-130.37,51.83,4.4,31.6,13.28,301.3,23.71,7.9205,1939.93,2141.8,2.22859628
-129.05,52.4,35.18,31.86,9.55,266.81,24.6,7.7716,2007.52,2148.7,1.610662183
-129.05,52.4,19.64,31.41,11.71,305.51,23.86,7.8511,1964.45,2132.5,1.884047832
-129.05,52.4,10.06,30.4,12.86,313.07,22.86,7.9199,1869.03,2063.5,2.137298239
-129.05,52.4,3.73,30.42,12.92,309.71,22.86,7.9227,1867.56,2062.8,2.147083113
-129.4,52.25,149.45,33.82,5.69,93.96,26.68,7.3781,2249.19,2271.8,0.70802235
-129.4,52.25,134.26,33.45,6.42,137.52,26.28,7.438,2207.18,2249.4,0.822290002
-129.4,52.25,124.4,33.27,6.61,153.53,26.11,7.4697,2186.64,2235.1,0.860708594
-129.4,52.25,98.91,32.63,7.19,217.16,25.53,7.5797,2107.68,2194.6,1.131015357
-129.4,52.25,59.35,32.21,7.89,254.57,25.1,7.6698,2056.96,2166.9,1.324072766
-129.4,52.25,49,32.17,8.07,254.88,25.04,7.6808,2050,2166.6,1.383986623
-129.4,52.25,40.16,32.02,8.71,271.96,24.83,7.7339,2030.49,2159.1,1.493733769
-129.4,52.25,30.18,31.83,9.6,282.64,24.54,7.7818,2004.13,2152.5,1.679313268
-129.4,52.25,20.04,31.63,11.96,313.49,23.98,7.9179,1941.45,2142.7,2.201135095
-129.4,52.25,15.01,31.63,12.39,316.96,23.9,7.9275,1937.32,2145.5,2.276403116
-129.4,52.25,10.3,31.54,13.75,314.63,23.57,7.9474,1924.49,2138.6,2.351078533
-129.4,52.25,3.63,31.55,13.77,308.99,23.57,7.9478,1923.86,2138.2,2.355909762
-129.97,52.02,119.84,33.29,6.64,144.43,26.12,7.4485,2191.77,2234.2,0.82331836
-129.97,52.02,99.51,33.23,6.69,149.76,26.06,7.4553,2184.64,2233.3,0.86623129
-129.97,52.02,80.21,32.89,6.99,178.78,25.75,7.514,2145.35,2209.2,0.967516861
-129.97,52.02,60.15,32.34,7.58,232.42,25.25,7.6158,2082.26,2175.3,1.186377522
-129.97,52.02,50.34,32.25,7.77,244.92,25.15,7.6431,2068.96,2170.9,1.260704253
-129.97,52.02,40.73,31.99,8.37,254.15,24.85,7.6869,2042.36,2158.8,1.385982301
-129.97,52.02,30.83,31.85,9.05,266.74,24.65,7.7121,2028.57,2156.4,1.492409083
-129.97,52.02,20.51,31.69,11.04,300.46,24.19,7.8472,1972.28,2147,1.939194886
-129.97,52.02,9.85,31.64,12.27,307.9,23.93,7.8986,1949.17,2143.3,2.140789026
-129.97,52.02,4.17,31.64,13.47,297.7,23.7,7.9115,1944.28,2142.8,2.199491451
-126.6,48.18,2467.86,34.64,1.6,70.69,27.71,7.4395,2395.88,2436.6,0.49842866
-126.6,48.18,1974.94,34.59,1.86,55.52,27.65,7.3955,2388.84,2411.2,0.481970357
-126.59,48.18,1482.8,34.51,2.54,27.41,27.54,7.3347,2387.42,2396.4,0.487199233
